,Symbol,2020Q1 Time,2020Q1 Date,2020Q1 Prev Date,2020Q1 Prev Open,2020Q1 Prev High,2020Q1 Prev Low,2020Q1 Prev Close,2020Q1 Earn Date,2020Q1 Earn Open,2020Q1 Earn High,2020Q1 Earn Low,2020Q1 Earn Close,2020Q1 Next Date,2020Q1 Next Open,2020Q1 Next High,2020Q1 Next Low,2020Q1 Next Close,2020Q1 Before Open %Change,2020Q1 After Close %Change
0,A,TAS,2020-02-18,2020-02-14,85.72000122070312,85.86000061035156,85.12000274658203,85.81999969482422,2020-02-18,85.66000366210938,86.08000183105469,84.52999877929688,84.79000091552734,2020-02-19,84.69999694824219,85.83999633789062,83.44999694824219,85.3499984741211,-0.19,-0.11
1,AAL,TAS,2020-01-23,2020-01-22,27.510000228881836,27.90999984741211,27.299999237060547,27.31999969482422,2020-01-23,27.389999389648438,28.989999771118164,26.040000915527344,28.799999237060547,2020-01-24,28.850000381469727,28.860000610351562,27.010000228881836,27.639999389648438,0.26,0.17
2,AAP,TAS,2020-02-18,2020-02-14,134.75,134.75,131.55999755859375,133.58999633789062,2020-02-18,145.38999938964844,150.66000366210938,140.75999450683594,141.80999755859375,2020-02-19,141.50999450683594,142.4199981689453,137.74000549316406,140.1199951171875,8.83,-0.21
3,AAPL,TAS,2020-01-28,2020-01-27,310.05999755859375,311.7699890136719,304.8800048828125,308.95001220703125,2020-01-28,312.6000061035156,318.3999938964844,312.19000244140625,317.69000244140625,2020-01-29,324.45001220703125,327.8500061035156,321.3800048828125,324.3399963378906,1.18,2.13
4,ABBV,TAS,2020-02-07,2020-02-06,87.88999938964844,87.95999908447266,86.22000122070312,87.18000030517578,2020-02-07,89.73999786376953,92.9800033569336,88.87999725341797,92.29000091552734,2020-02-10,92.36000061035156,95.5,92.11000061035156,94.75,2.94,0.08
5,ABC,TAS,2020-01-30,2020-01-29,89.48999786376953,90.8499984741211,89.19999694824219,89.86000061035156,2020-01-30,89.33000183105469,92.36000061035156,86.9000015258789,88.87999725341797,2020-01-31,89.29000091552734,89.29000091552734,85.2699966430664,85.55999755859375,-0.59,0.46
6,ABMD,TAS,2020-02-06,2020-02-05,192.74000549316406,194.3300018310547,188.6199951171875,190.72999572753906,2020-02-06,175.41000366210938,199.25999450683594,171.14999389648438,196.00999450683594,2020-02-07,193.9199981689453,194.0,184.0,186.91000366210938,-8.03,-1.07
7,ABT,TAS,2020-01-22,2020-01-21,88.86000061035156,90.04000091552734,88.61000061035156,89.7300033569336,2020-01-22,90.77999877929688,92.44999694824219,90.02999877929688,91.86000061035156,2020-01-23,91.80999755859375,91.8499984741211,90.16000366210938,90.7300033569336,1.17,-0.05
8,ACN,TAS,2020-03-19,2020-03-18,151.57000732421875,159.8000030517578,142.0,151.14999389648438,2020-03-19,151.36000061035156,177.8000030517578,151.36000061035156,158.5,2020-03-20,157.52999877929688,159.47000122070312,147.4199981689453,149.94000244140625,0.14,-0.61
9,ADBE,TAS,2020-03-12,2020-03-11,324.32000732421875,326.3599853515625,309.0,315.2300109863281,2020-03-12,290.4100036621094,310.1300048828125,283.0,285.0,2020-03-13,312.8800048828125,336.0,298.0,335.5,-7.87,9.78
10,ADI,TAS,2020-02-19,2020-02-18,116.2300033569336,118.88999938964844,116.06999969482422,118.56999969482422,2020-02-19,125.05999755859375,127.30000305175781,122.38999938964844,123.88999938964844,2020-02-20,124.4000015258789,125.56999969482422,122.37000274658203,124.55000305175781,5.47,0.41
11,ADM,TAS,2020-01-29,2020-01-28,43.70000076293945,44.11000061035156,43.529998779296875,43.91999816894531,2020-01-29,44.060001373291016,44.099998474121094,43.65999984741211,43.68000030517578,2020-01-30,45.619998931884766,46.0,44.779998779296875,45.79999923706055,0.32,4.44
12,ADP,TAS,2020-01-29,2020-01-28,176.02999877929688,178.9600067138672,175.89999389648438,178.3000030517578,2020-01-29,171.85000610351562,174.27999877929688,170.94000244140625,171.0399932861328,2020-01-30,168.9600067138672,175.0800018310547,168.33999633789062,175.00999450683594,-3.62,-1.22
13,ADS,TAS,2020-01-30,2020-01-29,108.16999816894531,110.27999877929688,107.66000366210938,109.69000244140625,2020-01-30,106.0,107.7300033569336,102.41000366210938,107.18000030517578,2020-01-31,106.58999633789062,106.58999633789062,102.5,102.79000091552734,-3.36,-0.55
14,ADSK,TAS,2020-02-27,2020-02-26,188.58999633789062,194.14999389648438,187.66000366210938,190.6699981689453,2020-02-27,184.24000549316406,188.49000549316406,180.07000732421875,180.64999389648438,2020-02-28,176.57000732421875,191.36000061035156,175.0500030517578,190.8800048828125,-3.37,-2.26
15,AEE,TAS,2020-02-26,2020-02-25,84.9000015258789,85.31999969482422,83.31999969482422,83.55999755859375,2020-02-26,84.7300033569336,86.47000122070312,84.04000091552734,85.20999908447266,2020-02-27,85.1500015258789,85.80999755859375,81.56999969482422,81.56999969482422,1.4,-0.07
16,AEP,TAS,2020-02-20,2020-02-19,104.1500015258789,104.38999938964844,103.44000244140625,103.5,2020-02-20,102.94999694824219,103.98999786376953,102.04000091552734,102.37999725341797,2020-02-21,102.05000305175781,103.13999938964844,101.61000061035156,101.70999908447266,-0.53,-0.32
