,Symbol,2019Q4 Time,2019Q4 Date
0,A,TAS,2019-11-25
1,AAL,TAS,2019-10-24
2,AAP,TAS,2019-11-12
3,AAPL,TAS,2019-10-30
4,ABBV,TAS,2019-11-01
5,ABC,TAS,2019-11-07
6,ABMD,TAS,2019-10-31
7,ABT,TAS,2019-10-16
8,ACN,TAS,2019-12-19
9,ADBE,TAS,2019-12-12
10,ADI,TAS,2019-11-18
11,ADM,TAS,2019-10-31
12,ADP,TAS,2019-10-30
13,ADS,TAS,2019-10-24
14,ADSK,TAS,2019-11-26
15,AEE,TAS,2019-11-08
16,AEP,TAS,2019-10-24
17,AES,TAS,2019-11-06
18,AFL,TAS,2019-10-24
19,AGN,TAS,2019-11-05
20,AIG,TAS,2019-11-01
21,AIV,TAS,2019-10-31
22,AIZ,Time Not Supplied,2019-11-04
23,AJG,TAS,2019-10-24
24,AKAM,TAS,2019-10-28
25,ALB,TAS,2019-11-06
26,ALGN,TAS,2019-10-23
27,ALK,TAS,2019-10-24
28,ALL,TAS,2019-10-29
29,ALLE,TAS,2019-10-24
30,ALXN,TAS,2019-10-23
31,AMAT,TAS,2019-11-14
32,AMCR,Time Not Supplied,2019-11-07
33,AMD,TAS,2019-10-29
34,AME,TAS,2019-10-31
35,AMGN,TAS,2019-10-29
36,AMP,TAS,2019-10-23
37,AMT,TAS,2019-10-31
38,AMZN,TAS,2019-10-24
39,ANET,TAS,2019-10-31
40,ANSS,TAS,2019-11-06
41,ANTM,TAS,2019-10-23
42,AON,TAS,2019-10-25
43,AOS,TAS,2019-10-29
44,APA,TAS,2019-10-30
45,APD,TAS,2019-11-07
46,APH,TAS,2019-10-23
47,APTV,TAS,2019-10-30
48,ARE,TAS,2019-10-28
49,ATO,TAS,2019-11-06
50,ATVI,TAS,2019-11-07
51,AVB,TAS,2019-10-28
52,AVGO,After Market Close,2019-12-05
53,AVY,TAS,2019-10-23
54,AWK,TAS,2019-10-30
55,AXP,TAS,2019-10-18
56,AZO,TAS,2019-12-10
57,BA,TAS,2019-10-23
58,BAC,TAS,2019-10-16
59,BAX,TAS,2019-10-24
60,BBY,TAS,2019-11-26
61,BDX,TAS,2019-11-05
62,BEN,TAS,2019-10-25
63,BF.B,NaN,NaN
64,BIIB,Before Market Open,2019-10-22
65,BK,TAS,2019-10-16
66,BKNG,After Market Close,2019-11-07
67,BKR,TAS,2019-10-30
68,BLK,TAS,2019-10-15
69,BLL,TAS,2019-10-31
70,BMY,TAS,2019-10-31
71,BR,TAS,2019-11-06
72,BRK.B,NaN,NaN
73,BSX,TAS,2019-10-23
74,BWA,TAS,2019-10-31
75,BXP,TAS,2019-10-29
76,C,TAS,2019-10-15
77,CAG,TAS,2019-12-19
78,CAH,NaN,NaN
79,CARR,NaN,NaN
80,CAT,NaN,NaN
81,CB,TAS,2019-10-29
82,CBOE,TAS,2019-11-01
83,CBRE,NaN,NaN
84,CCI,TAS,2019-10-16
85,CCL,NaN,NaN
86,CDNS,TAS,2019-10-21
87,CDW,TAS,2019-10-31
88,CE,TAS,2019-10-21
89,CERN,TAS,2019-10-24
90,CF,TAS,2019-10-30
91,CFG,TAS,2019-10-18
92,CHD,TAS,2019-10-31
93,CHRW,NaN,NaN
94,CHTR,TAS,2019-10-25
95,CI,NaN,NaN
96,CINF,NaN,NaN
97,CL,TAS,2019-11-01
98,CLX,NaN,NaN
99,CMA,TAS,2019-10-16
100,CMCSA,NaN,NaN
101,CME,NaN,NaN
102,CMG,TAS,2019-10-22
103,CMI,TAS,2019-10-29
104,CMS,TAS,2019-10-24
105,CNC,TAS,2019-10-22
106,CNP,NaN,NaN
107,COF,NaN,NaN
108,COG,NaN,NaN
109,COO,TAS,2019-12-05
110,COP,NaN,NaN
111,COST,Multi,Multi
112,COTY,NaN,NaN
113,CPB,TAS,2019-12-04
114,CPRI,NaN,NaN
115,CPRT,TAS,2019-11-20
116,CRM,TAS,2019-12-03
117,CSCO,TAS,2019-11-13
118,CSX,TAS,2019-10-16
119,CTAS,TAS,2019-12-17
120,CTL,NaN,NaN
121,CTSH,TAS,2019-10-30
122,CTVA,Multi,Multi
123,CTXS,NaN,NaN
124,CVS,NaN,NaN
125,CVX,TAS,2019-11-01
126,CXO,NaN,NaN
127,D,TAS,2019-11-01
128,DAL,TAS,2019-10-10
129,DD,NaN,NaN
130,DE,TAS,2019-11-27
131,DFS,TAS,2019-10-22
132,DG,TAS,2019-12-05
133,DGX,TAS,2019-10-22
134,DHI,NaN,NaN
135,DHR,NaN,NaN
136,DIS,Time Not Supplied,2019-11-06
137,DISCA,NaN,NaN
138,DISCK,NaN,NaN
139,DISH,NaN,NaN
140,DLR,NaN,NaN
141,DLTR,TAS,2019-11-26
142,DOV,TAS,2019-10-17
143,DOW,NaN,NaN
144,DRE,NaN,NaN
145,DRI,TAS,2019-12-19
146,DTE,Before Market Open,2019-10-22
147,DUK,TAS,2019-11-08
148,DVA,NaN,NaN
149,DVN,NaN,NaN
150,DXC,TAS,2019-11-11
151,EA,TAS,2019-10-29
152,EBAY,NaN,NaN
153,ECL,NaN,NaN
154,ED,TAS,2019-11-04
155,EFX,NaN,NaN
156,EIX,NaN,NaN
157,EL,NaN,NaN
158,EMN,NaN,NaN
159,EMR,NaN,NaN
160,EOG,NaN,NaN
161,EQIX,NaN,NaN
162,EQR,NaN,NaN
163,ES,NaN,NaN
164,ESS,NaN,NaN
165,ETFC,TAS,2019-10-17
166,ETN,TAS,2019-10-29
167,ETR,NaN,NaN
168,EVRG,NaN,NaN
169,EW,TAS,2019-10-23
170,EXC,NaN,NaN
171,EXPD,NaN,NaN
172,EXPE,NaN,NaN
173,EXR,NaN,NaN
174,F,TAS,2019-10-23
175,FANG,NaN,NaN
176,FAST,TAS,2019-10-11
177,FB,NaN,NaN
178,FBHS,TAS,2019-10-23
179,FCX,NaN,NaN
180,FDX,TAS,2019-12-17
181,FE,NaN,NaN
182,FFIV,NaN,NaN
183,FIS,NaN,NaN
184,FISV,NaN,NaN
185,FITB,NaN,NaN
186,FLIR,NaN,NaN
187,FLS,NaN,NaN
188,FLT,NaN,NaN
189,FMC,TAS,2019-10-29
190,FOX,NaN,NaN
191,FOXA,NaN,NaN
192,FRC,TAS,2019-10-15
193,FRT,NaN,NaN
194,FTI,NaN,NaN
195,FTNT,NaN,NaN
196,FTV,NaN,NaN
197,GD,NaN,NaN
198,GE,NaN,NaN
199,GILD,NaN,NaN
200,GIS,TAS,2019-12-18
201,GL,NaN,NaN
202,GLW,NaN,NaN
203,GM,NaN,NaN
204,GOOG,NaN,NaN
205,GOOGL,After Market Close,2019-10-28
206,GPC,TAS,2019-10-17
207,GPN,NaN,NaN
208,GPS,TAS,2019-11-21
209,GRMN,NaN,NaN
210,GS,Before Market Open,2019-10-15
211,GWW,NaN,NaN
212,HAL,TAS,2019-10-21
213,HAS,NaN,NaN
214,HBAN,NaN,NaN
215,HBI,NaN,NaN
216,HCA,NaN,NaN
217,HD,TAS,2019-11-19
218,HES,NaN,NaN
219,HFC,NaN,NaN
220,HIG,NaN,NaN
221,HII,NaN,NaN
222,HLT,NaN,NaN
223,HOG,TAS,2019-10-22
224,HOLX,NaN,NaN
225,HON,TAS,2019-10-17
226,HP,TAS,2019-11-14
227,HPE,TAS,2019-11-25
228,HPQ,TAS,2019-11-26
229,HRB,TAS,2019-12-04
230,HRL,TAS,2019-11-26
231,HSIC,NaN,NaN
232,HST,NaN,NaN
233,HSY,NaN,NaN
234,HUM,NaN,NaN
235,HWM,NaN,NaN
236,IBM,TAS,2019-10-16
237,ICE,NaN,NaN
238,IDXX,NaN,NaN
239,IEX,TAS,2019-10-29
240,IFF,NaN,NaN
241,ILMN,NaN,NaN
242,INCY,NaN,NaN
243,INFO,NaN,NaN
244,INTC,NaN,NaN
245,INTU,TAS,2019-11-21
246,IP,NaN,NaN
247,IPG,TAS,2019-10-22
248,IPGP,NaN,NaN
249,IQV,NaN,NaN
250,IR,NaN,NaN
251,IRM,NaN,NaN
252,ISRG,TAS,2019-10-17
253,IT,NaN,NaN
254,ITW,TAS,2019-10-25
255,IVZ,NaN,NaN
256,J,TAS,2019-11-25
257,JBHT,TAS,2019-10-15
258,JCI,NaN,NaN
259,JKHY,TAS,2019-11-04
260,JNJ,TAS,2019-10-15
261,JNPR,NaN,NaN
262,JPM,TAS,2019-10-15
263,JWN,TAS,2019-11-21
264,K,NaN,NaN
