,Symbol,2020Q2 Time,2020Q2 Date,2020Q2 Prev Date,2020Q2 Prev Open,2020Q2 Prev High,2020Q2 Prev Low,2020Q2 Prev Close,2020Q2 Earn Date,2020Q2 Earn Open,2020Q2 Earn High,2020Q2 Earn Low,2020Q2 Earn Close,2020Q2 Next Date,2020Q2 Next Open,2020Q2 Next High,2020Q2 Next Low,2020Q2 Next Close,2020Q2 Before Open %Change,2020Q2 After Close %Change
344,NSC,Before Market Open,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
345,NTAP,After Market Close,2020-05-20,NaN,NaN,NaN,NaN,NaN,2020-05-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
346,NTRS,Before Market Open,2020-04-21,2020-04-20,78.88999938964844,80.91000366210938,78.18000030517578,79.33000183105469,2020-04-21,78.25,78.66999816894531,71.73999786376953,74.43000030517578,2020-04-22,76.4000015258789,77.08999633789062,74.77999877929688,76.16999816894531,-1.36,2.65
347,NUE,Before Market Open,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
348,NVDA,After Market Close,2020-05-21,NaN,NaN,NaN,NaN,NaN,2020-05-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
349,NVR,TAS,2020-04-23,2020-04-22,2874.449951171875,2927.89990234375,2813.0,2847.60009765625,2020-04-23,2809.550048828125,2840.0,2718.010009765625,2746.330078125,2020-04-24,2750.0,2875.0,2728.3798828125,2847.3701171875,-1.34,0.13
350,NWL,Before Market Open,2020-05-01,NaN,NaN,NaN,NaN,NaN,2020-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
351,NWS,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
352,NWSA,Multi,Multi,NaN,NaN,NaN,NaN,NaN,Multi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
353,O,TAS,2020-05-04,NaN,NaN,NaN,NaN,NaN,2020-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
354,ODFL,TAS,2020-04-23,2020-04-22,127.30000305175781,129.58999633789062,124.98999786376953,128.25,2020-04-23,129.35000610351562,142.1199951171875,129.35000610351562,141.25,2020-04-24,142.83999633789062,143.52999877929688,138.0,141.6300048828125,0.86,1.13
355,OKE,After Market Close,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
356,OMC,Before Market Open,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
357,ORCL,Time Not Supplied,2020-06-17,NaN,NaN,NaN,NaN,NaN,2020-06-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
358,ORLY,TAS,2020-04-22,2020-04-21,368.3699951171875,373.54998779296875,357.6199951171875,358.29998779296875,2020-04-22,362.510009765625,371.0,361.010009765625,368.260009765625,2020-04-23,386.45001220703125,389.5899963378906,366.17999267578125,374.5299987792969,1.17,4.94
359,OTIS,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
360,OXY,After Market Close,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
361,PAYC,After Market Close,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
362,PAYX,Before Market Open,2020-06-24,NaN,NaN,NaN,NaN,NaN,2020-06-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
363,PBCT,Time Not Supplied,2020-04-16,2020-04-15,11.079999923706055,11.140000343322754,10.819999694824219,10.869999885559082,2020-04-16,10.880000114440918,10.890000343322754,10.369999885559082,10.5600004196167,2020-04-17,11.039999961853027,11.579999923706055,10.930000305175781,11.479999542236328,0.09,4.55
364,PCAR,TAS,2020-04-21,2020-04-20,66.94999694824219,68.5,65.70999908447266,67.19999694824219,2020-04-21,68.61000061035156,68.98999786376953,64.86000061035156,65.72000122070312,2020-04-22,66.87000274658203,67.18000030517578,65.12999725341797,66.13999938964844,2.1,1.75
365,PEAK,After Market Close,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
366,PEG,Before Market Open,2020-05-04,NaN,NaN,NaN,NaN,NaN,2020-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
367,PEP,Before Market Open,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
368,PFE,Before Market Open,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
369,PFG,After Market Close,2020-04-27,NaN,NaN,NaN,NaN,NaN,2020-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
370,PG,TAS,2020-04-17,2020-04-16,122.3499984741211,122.5,119.9000015258789,121.5,2020-04-17,122.44999694824219,124.98999786376953,120.54000091552734,124.69000244140625,2020-04-20,121.47000122070312,123.2300033569336,120.54000091552734,120.5999984741211,0.78,-2.58
371,PGR,Multi,Multi,NaN,NaN,NaN,NaN,NaN,Multi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
372,PH,Before Market Open,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
373,PHM,TAS,2020-04-23,2020-04-22,24.90999984741211,25.049999237060547,24.0,24.06999969482422,2020-04-23,23.329999923706055,25.15999984741211,23.18000030517578,23.8700008392334,2020-04-24,24.030000686645508,25.860000610351562,24.030000686645508,25.639999389648438,-3.07,0.67
374,PKG,After Market Close,2020-04-27,NaN,NaN,NaN,NaN,NaN,2020-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
375,PKI,After Market Close,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
376,PLD,TAS,2020-04-21,2020-04-20,88.98999786376953,89.47000122070312,87.87999725341797,88.5,2020-04-21,83.80000305175781,89.63999938964844,83.70999908447266,89.0,2020-04-22,89.66999816894531,90.77999877929688,87.66999816894531,87.87000274658203,-5.31,0.75
377,PM,TAS,2020-04-21,2020-04-20,76.13999938964844,78.13999938964844,75.7699966430664,76.86000061035156,2020-04-21,72.9800033569336,75.5199966430664,71.5999984741211,72.27999877929688,2020-04-22,73.66999816894531,73.86000061035156,71.8499984741211,73.05999755859375,-5.05,1.92
378,PNC,TAS,2020-04-15,2020-04-14,103.22000122070312,104.1500015258789,97.69999694824219,99.47000122070312,2020-04-15,94.55000305175781,96.5999984741211,91.0999984741211,92.43000030517578,2020-04-16,92.83000183105469,93.33000183105469,89.12999725341797,90.54000091552734,-4.95,0.43
379,PNR,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
380,PNW,Before Market Open,2020-05-08,NaN,NaN,NaN,NaN,NaN,2020-05-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
381,PPG,After Market Close,2020-04-27,NaN,NaN,NaN,NaN,NaN,2020-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
382,PPL,Before Market Open,2020-05-08,NaN,NaN,NaN,NaN,NaN,2020-05-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
383,PRGO,Before Market Open,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
384,PRU,After Market Close,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
385,PSA,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
386,PSX,Before Market Open,2020-05-01,NaN,NaN,NaN,NaN,NaN,2020-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
387,PVH,Multi,Multi,NaN,NaN,NaN,NaN,NaN,Multi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
388,PWR,Before Market Open,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
389,PXD,After Market Close,2020-05-06,NaN,NaN,NaN,NaN,NaN,2020-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
390,PYPL,After Market Close,2020-05-06,NaN,NaN,NaN,NaN,NaN,2020-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
391,QCOM,After Market Close,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
392,QRVO,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
393,RCL,Before Market Open,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
394,RE,After Market Close,2020-05-06,NaN,NaN,NaN,NaN,NaN,2020-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
395,REG,After Market Close,2020-05-07,NaN,NaN,NaN,NaN,NaN,2020-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
396,REGN,Before Market Open,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
397,RF,TAS,2020-04-17,NaN,NaN,NaN,NaN,NaN,2020-04-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
398,RHI,TAS,2020-04-23,NaN,NaN,NaN,NaN,NaN,2020-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
399,RJF,After Market Close,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
400,RL,Before Market Open,2020-05-27,NaN,NaN,NaN,NaN,NaN,2020-05-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
401,RMD,After Market Close,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
402,ROK,Before Market Open,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
403,ROL,Before Market Open,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
404,ROP,Before Market Open,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
405,ROST,After Market Close,2020-05-21,NaN,NaN,NaN,NaN,NaN,2020-05-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
406,RSG,After Market Close,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
407,RTX,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
408,SBAC,After Market Close,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
409,SBUX,After Market Close,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
410,SCHW,TAS,2020-04-15,NaN,NaN,NaN,NaN,NaN,2020-04-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
411,SEE,Before Market Open,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
412,SHW,Before Market Open,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
413,SIVB,After Market Close,2020-04-23,NaN,NaN,NaN,NaN,NaN,2020-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
414,SJM,Before Market Open,2020-06-04,NaN,NaN,NaN,NaN,NaN,2020-06-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
415,SLB,TAS,2020-04-17,NaN,NaN,NaN,NaN,NaN,2020-04-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
416,SLG,TAS,2020-04-22,NaN,NaN,NaN,NaN,NaN,2020-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
417,SNA,TAS,2020-04-21,NaN,NaN,NaN,NaN,NaN,2020-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
418,SNPS,After Market Close,2020-05-20,NaN,NaN,NaN,NaN,NaN,2020-05-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
419,SO,Before Market Open,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
420,SPG,Before Market Open,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
421,SPGI,Before Market Open,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
422,SRE,TAS,2020-05-04,NaN,NaN,NaN,NaN,NaN,2020-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
423,STE,After Market Close,2020-05-04,NaN,NaN,NaN,NaN,NaN,2020-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
424,STT,Before Market Open,2020-04-17,NaN,NaN,NaN,NaN,NaN,2020-04-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
425,STX,TAS,2020-04-22,NaN,NaN,NaN,NaN,NaN,2020-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
426,STZ,Multi,Multi,NaN,NaN,NaN,NaN,NaN,Multi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
427,SWK,Before Market Open,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
428,SWKS,After Market Close,2020-05-04,NaN,NaN,NaN,NaN,NaN,2020-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
429,SYF,TAS,2020-04-21,NaN,NaN,NaN,NaN,NaN,2020-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
430,SYK,TAS,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
431,SYY,Before Market Open,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
432,T,TAS,2020-04-22,NaN,NaN,NaN,NaN,NaN,2020-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
433,TAP,Before Market Open,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
434,TDG,Before Market Open,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
435,TEL,Before Market Open,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
436,TFC,TAS,2020-04-20,NaN,NaN,NaN,NaN,NaN,2020-04-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
437,TFX,Before Market Open,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
438,TGT,Before Market Open,2020-05-20,NaN,NaN,NaN,NaN,NaN,2020-05-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
439,TIF,Before Market Open,2020-06-02,NaN,NaN,NaN,NaN,NaN,2020-06-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
440,TJX,Before Market Open,2020-05-19,NaN,NaN,NaN,NaN,NaN,2020-05-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
441,TMO,TAS,2020-04-22,NaN,NaN,NaN,NaN,NaN,2020-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
442,TMUS,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
443,TPR,Before Market Open,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
444,TROW,TAS,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
445,TRV,TAS,2020-04-21,NaN,NaN,NaN,NaN,NaN,2020-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
446,TSCO,TAS,2020-04-23,NaN,NaN,NaN,NaN,NaN,2020-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
447,TSN,Before Market Open,2020-05-04,NaN,NaN,NaN,NaN,NaN,2020-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
448,TT,Before Market Open,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
449,TTWO,After Market Close,2020-05-11,NaN,NaN,NaN,NaN,NaN,2020-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
450,TWTR,Before Market Open,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
451,TXN,TAS,2020-04-21,NaN,NaN,NaN,NaN,NaN,2020-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
452,TXT,Before Market Open,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
453,UA,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
454,UAA,TAS,2020-05-11,NaN,NaN,NaN,NaN,NaN,2020-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
455,UAL,After Market Close,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
456,UDR,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
457,UHS,After Market Close,2020-04-27,NaN,NaN,NaN,NaN,NaN,2020-04-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
458,ULTA,After Market Close,2020-05-28,NaN,NaN,NaN,NaN,NaN,2020-05-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
459,UNH,TAS,2020-04-15,NaN,NaN,NaN,NaN,NaN,2020-04-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
460,UNM,After Market Close,2020-05-04,NaN,NaN,NaN,NaN,NaN,2020-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
461,UNP,TAS,2020-04-23,NaN,NaN,NaN,NaN,NaN,2020-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
462,UPS,Before Market Open,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
463,URI,After Market Close,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
464,USB,TAS,2020-04-15,NaN,NaN,NaN,NaN,NaN,2020-04-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
465,V,After Market Close,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
466,VAR,After Market Close,2020-05-04,NaN,NaN,NaN,NaN,NaN,2020-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
467,VFC,Before Market Open,2020-05-20,NaN,NaN,NaN,NaN,NaN,2020-05-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
468,VIAC,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
469,VLO,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
470,VMC,Before Market Open,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
471,VNO,After Market Close,2020-05-04,NaN,NaN,NaN,NaN,NaN,2020-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
472,VRSK,After Market Close,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
473,VRSN,TAS,2020-04-23,NaN,NaN,NaN,NaN,NaN,2020-04-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
474,VRTX,After Market Close,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
475,VTR,Before Market Open,2020-04-24,NaN,NaN,NaN,NaN,NaN,2020-04-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
476,VZ,TAS,2020-04-24,NaN,NaN,NaN,NaN,NaN,2020-04-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
477,WAB,Before Market Open,2020-05-04,NaN,NaN,NaN,NaN,NaN,2020-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
478,WAT,Before Market Open,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
479,WBA,Multi,Multi,NaN,NaN,NaN,NaN,NaN,Multi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
480,WDC,After Market Close,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
481,WEC,Before Market Open,2020-05-04,NaN,NaN,NaN,NaN,NaN,2020-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
482,WELL,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
483,WFC,TAS,2020-04-14,NaN,NaN,NaN,NaN,NaN,2020-04-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
484,WHR,TAS,2020-04-30,NaN,NaN,NaN,NaN,NaN,2020-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
485,WLTW,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
486,WM,Before Market Open,2020-05-06,NaN,NaN,NaN,NaN,NaN,2020-05-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
487,WMB,After Market Close,2020-05-04,NaN,NaN,NaN,NaN,NaN,2020-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
488,WMT,TAS,2020-05-19,NaN,NaN,NaN,NaN,NaN,2020-05-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
489,WRB,TAS,2020-04-21,NaN,NaN,NaN,NaN,NaN,2020-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
490,WRK,Before Market Open,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
491,WU,After Market Close,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
492,WY,Before Market Open,2020-05-01,NaN,NaN,NaN,NaN,NaN,2020-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
493,WYNN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
494,XEL,Before Market Open,2020-05-07,NaN,NaN,NaN,NaN,NaN,2020-05-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
495,XLNX,TAS,2020-04-22,NaN,NaN,NaN,NaN,NaN,2020-04-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
496,XOM,Before Market Open,2020-05-01,NaN,NaN,NaN,NaN,NaN,2020-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
497,XRAY,Before Market Open,2020-05-01,NaN,NaN,NaN,NaN,NaN,2020-05-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
498,XRX,Multi,Multi,NaN,NaN,NaN,NaN,NaN,Multi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
499,XYL,TAS,2020-05-05,NaN,NaN,NaN,NaN,NaN,2020-05-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
500,YUM,Before Market Open,2020-04-29,NaN,NaN,NaN,NaN,NaN,2020-04-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
501,ZBH,TAS,2020-05-11,NaN,NaN,NaN,NaN,NaN,2020-05-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
502,ZBRA,Before Market Open,2020-04-28,NaN,NaN,NaN,NaN,NaN,2020-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
503,ZION,After Market Close,2020-04-20,NaN,NaN,NaN,NaN,NaN,2020-04-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
